order_id,inventory_item_id,gender,status,created_at,shipped_at,delivered_at,returned_at,sale_price,num_of_item,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_distribution_center_id
85524,334552,F,Shipped,2023-03-29 21:51:47.000000 UTC,2023-04-01 23:10:00.000000 UTC,,,10.989999771118164,1,,4.1102598921263214,Accessories,(Set of 4) 2.5 Glitter Cotton Stretch Headbands,Funny Girl Designs,10.989999771118164,Women,7
423,1689,M,Complete,2023-05-22 11:05:16.000000 UTC,2023-05-23 22:16:00.000000 UTC,2023-05-25 13:54:00.000000 UTC,,12.0,1,,4.7999999821186075,Accessories,100% Genuine Leather Bi-fold Badge Holder Black #2518TA,Marshal,12.0,Men,8
71946,281494,M,Complete,2023-05-19 08:49:10.000000 UTC,2023-05-20 04:51:00.000000 UTC,2023-05-23 05:36:00.000000 UTC,,12.0,1,,4.7999999821186075,Accessories,100% Genuine Leather Bi-fold Badge Holder Black #2518TA,Marshal,12.0,Men,8
83892,328064,M,Processing,2023-06-05 07:47:55.000000 UTC,,,,19.989999771118164,1,,8.77560988581866,Accessories,100% Silk Knit Black Skinny Tie,TheTieBar,19.989999771118164,Men,7
77990,305203,M,Shipped,2023-01-02 23:40:56.000000 UTC,2023-01-01 11:19:00.000000 UTC,,,15.989999771118164,3,,6.9396599063837527,Accessories,100% Silk Solid Satin Black Self-Tie Bow Tie,TheTieBar,15.989999771118164,Men,7
117295,458580,M,Complete,2023-03-04 03:34:39.000000 UTC,2023-03-05 11:05:00.000000 UTC,2023-03-09 22:33:00.000000 UTC,,15.989999771118164,1,,6.9396599063837527,Accessories,100% Silk Solid Satin Black Self-Tie Bow Tie,TheTieBar,15.989999771118164,Men,7
92355,361084,M,Cancelled,2023-02-26 12:00:44.000000 UTC,,,,18.989999771118164,2,,6.722459888980687,Accessories,100% Silk Woven Apple Paisley Tie,TheTieBar,18.989999771118164,Men,7
67182,262992,M,Cancelled,2023-05-25 06:10:51.000000 UTC,,,,18.989999771118164,1,,8.43155986555159,Accessories,100% Silk Woven Blue Houndstooth Plaid Tie,TheTieBar,18.989999771118164,Men,7
40438,158693,M,Shipped,2023-04-25 01:24:01.000000 UTC,2023-04-25 19:57:00.000000 UTC,,,17.989999771118164,2,,7.5378098663003748,Accessories,100% Silk Woven Brown Lavender and Rust Hendrix Paisley Self-Tie Bow Tie,TheTieBar,17.989999771118164,Men,7
110869,433346,M,Shipped,2023-06-27 06:11:54.000000 UTC,2023-06-30 06:18:00.000000 UTC,,,15.989999771118164,1,,6.0761998963460329,Accessories,100% Silk Woven Brown Paisley Tie,TheTieBar,15.989999771118164,Men,7
111667,436492,M,Shipped,2023-06-23 09:56:26.000000 UTC,2023-06-24 11:32:00.000000 UTC,,,15.989999771118164,2,,6.0761998963460329,Accessories,100% Silk Woven Brown Paisley Tie,TheTieBar,15.989999771118164,Men,7
77964,305091,M,Shipped,2023-01-19 02:53:57.000000 UTC,2023-01-20 11:38:00.000000 UTC,,,15.989999771118164,2,,6.3320398824979,Accessories,100% Silk Woven Burgundy Striped Tie,TheTieBar,15.989999771118164,Men,7
109900,429573,M,Processing,2023-06-02 05:47:04.000000 UTC,,,,15.989999771118164,3,,6.3320398824979,Accessories,100% Silk Woven Burgundy Striped Tie,TheTieBar,15.989999771118164,Men,7
70290,275040,M,Cancelled,2023-03-13 04:28:30.000000 UTC,,,,15.989999771118164,2,,6.7317898752866689,Accessories,100% Silk Woven Burgundy and Navy Nifty Striped Tie,TheTieBar,15.989999771118164,Men,7
27359,107207,M,Processing,2023-01-14 10:40:38.000000 UTC,,,,15.989999771118164,3,,6.348029884889983,Accessories,100% Silk Woven Charcoal Paisley Tie,TheTieBar,15.989999771118164,Men,7
111756,436873,M,Shipped,2023-03-06 06:31:01.000000 UTC,2023-03-09 04:52:00.000000 UTC,,,15.989999771118164,1,,6.348029884889983,Accessories,100% Silk Woven Charcoal Paisley Tie,TheTieBar,15.989999771118164,Men,7
4282,16777,M,Processing,2023-03-25 01:01:07.000000 UTC,,,,15.989999771118164,2,,6.667829895502031,Accessories,100% Silk Woven Colorful Gingham Earth Self-Tie Bow Tie,TheTieBar,15.989999771118164,Men,7
88671,346912,M,Processing,2023-04-05 06:45:02.000000 UTC,,,,15.989999771118164,1,,6.667829895502031,Accessories,100% Silk Woven Colorful Gingham Earth Self-Tie Bow Tie,TheTieBar,15.989999771118164,Men,7
55459,217031,M,Complete,2023-05-26 01:28:33.000000 UTC,2023-05-24 05:17:00.000000 UTC,2023-05-25 09:58:00.000000 UTC,,15.989999771118164,2,,6.4759498816888783,Accessories,100% Silk Woven Crimson Wreath Patterned Christmas Tie,TheTieBar,15.989999771118164,Men,7
124612,487351,M,Shipped,2023-03-07 06:49:44.000000 UTC,2023-03-07 08:44:00.000000 UTC,,,17.989999771118164,2,,7.4298698834899071,Accessories,100% Silk Woven Gold Plaid Self-Tie Bow Tie,TheTieBar,17.989999771118164,Men,7
32583,128120,M,Processing,2023-04-12 10:01:04.000000 UTC,,,,18.989999771118164,4,,7.5770098794768668,Accessories,100% Silk Woven Light Blue and Navy Striped Tie,TheTieBar,18.989999771118164,Men,7
71017,277883,M,Shipped,2023-01-13 00:03:37.000000 UTC,2023-01-14 14:06:00.000000 UTC,,,15.989999771118164,1,,6.507929886473045,Accessories,100% Silk Woven Navy Striped Tie,TheTieBar,15.989999771118164,Men,7
73755,288570,M,Cancelled,2023-01-28 12:54:25.000000 UTC,,,,17.989999771118164,1,,6.7102698752205079,Accessories,100% Silk Woven Navy and Apple Bella Pin Patterned Reversible Self-Tie Bow Tie,TheTieBar,17.989999771118164,Men,7
77259,302367,M,Processing,2023-02-11 22:10:02.000000 UTC,,,,15.989999771118164,1,,6.907679901599586,Accessories,100% Silk Woven Navy and Red Striped Tie,TheTieBar,15.989999771118164,Men,7
23262,91169,M,Shipped,2023-02-05 14:46:28.000000 UTC,2023-02-07 21:46:00.000000 UTC,,,15.989999771118164,2,,6.539909876365364,Accessories,100% Silk Woven Red Striped Self-Tie Bow Tie,TheTieBar,15.989999771118164,Men,7
103322,403647,M,Processing,2023-03-24 13:09:01.000000 UTC,,,,17.989999771118164,1,,6.36845989056021,Accessories,100% Silk Woven Serene Blue Monster Madras Plaid Self-Tie Bow Tie,TheTieBar,17.989999771118164,Men,7
25686,100762,F,Complete,2023-05-24 13:54:33.000000 UTC,2023-05-26 08:36:00.000000 UTC,2023-05-28 00:40:00.000000 UTC,,14.989999771118164,1,,5.666219892932773,Accessories,100% Wool 'Hat-imals' Plush Knit Winter Hats (Wool Collection),boxed-gifts,14.989999771118164,Women,10
79485,311080,M,Shipped,2023-06-17 05:14:37.000000 UTC,2023-06-17 07:05:00.000000 UTC,,,25.0,1,,9.5249999780207872,Accessories,180s Men's Urban Ear Warmer,180s,25.0,Men,3
