order_id,inventory_item_id,gender,status,created_at,shipped_at,delivered_at,returned_at,sale_price,num_of_item,cost,product_category,product_name,product_brand,product_distribution_center_id,year_month,lama_pengiriman,lama_pengiriman_jam,lama_pengembalian_jam
124266,487074,F,Shipped,2023-05-15 06:25:24+00:00,2023-05-11 19:08:00+00:00,,,0.0199999995529651,4,0.0082999997779726,Accessories,Indestructable Aluminum Aluma Wallet - RED,marshal,1,2023-05,,,
92782,363599,F,Complete,2023-02-20 15:55:38+00:00,2023-02-21 17:53:00+00:00,2023-02-25 20:43:00+00:00,,0.4900000095367431,2,0.1773800033208727,Accessories,Set of 2 - Replacement Insert For Checkbook Wallets Card Or Picture Insert,Made in USA,1,2023-02,4 days 02:50:00,98.83333333333333,
29061,113659,M,Processing,2023-01-28 00:48:32+00:00,,,,1.5,2,0.6059999980498105,Accessories,Wayfarer Style Sunglasses Dark Lens Black Frame,Wayfayrer,8,2023-01,,,
83488,327211,M,Returned,2023-04-26 04:08:20+00:00,2023-04-26 15:20:00+00:00,2023-04-28 23:59:00+00:00,2023-04-30 13:08:00+00:00,1.5,1,0.6059999980498105,Accessories,Wayfarer Style Sunglasses Dark Lens Black Frame,Wayfayrer,8,2023-04,2 days 08:39:00,56.65,93.8
28402,111135,F,Cancelled,2023-04-02 03:21:08+00:00,,,,1.5099999904632568,4,0.6447699947352707,Accessories,Solid Color Leather Adjustable Skinny Belt with,boxed-gifts,10,2023-04,,,
31746,124143,F,Cancelled,2023-05-16 23:46:59+00:00,,,,1.5099999904632568,1,0.6447699947352707,Accessories,Solid Color Leather Adjustable Skinny Belt with,boxed-gifts,10,2023-05,,,
862,3436,F,Returned,2023-05-03 08:06:23+00:00,2023-05-03 08:33:00+00:00,2023-05-06 08:56:00+00:00,2023-05-08 04:24:00+00:00,1.820000052452088,4,0.7498400190880892,Accessories,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Star,2,2023-05,3 days 00:23:00,72.38333333333334,115.85
124723,488915,F,Returned,2023-03-07 00:55:08+00:00,2023-03-05 07:36:00+00:00,2023-03-05 15:52:00+00:00,2023-03-07 03:43:00+00:00,1.820000052452088,4,0.8918000261083245,Plus,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Star,2,2023-03,0 days 08:16:00,8.266666666666667,44.11666666666667
40445,158205,F,Shipped,2023-01-22 02:55:29+00:00,2023-01-19 21:01:00+00:00,,,1.950000047683716,4,0.7722000156065448,Socks & Hosiery,Pink Ribbon Breast Cancer Awareness Knee High Socks Great for Sports Teams Fundraising Relay for Life Walk Survivor (Style 21),Palmetto Fundraising,7,2023-01,,,
37038,144994,F,Shipped,2023-01-22 11:50:46+00:00,2023-01-24 18:15:00+00:00,,,2.6700000762939453,1,1.100040027732998,Accessories,Retractable Colorful Rhinestone Lanyards with Breakaway Feature ID Badge Holder & Key Chain,Coloriffics,2,2023-01,,,
